Año,Mes,CCAA,Producto,Volumen (miles de kg),Penetración (%)
2020,3,Aragon,TOMATES,1355.2,86.07
2020,3,Aragon,CEBOLLAS,863.95,70.44
2020,3,Aragon,AJOS,101.68,35.62
2020,3,Aragon,COLES,270.89,24.34
2020,3,Aragon,PEPINOS,158.13,23.48
2020,3,Aragon,JUDIAS VERDES,407.13,53.48
2020,3,Aragon,PIMIENTOS,548.02,57.76
2020,3,Aragon,CHAMPIÑONES+O.SETAS,271.9,58.21
2020,3,Aragon,LECHUGA/ESC./ENDIVIA,830.87,76.51
2020,3,Aragon,ESPARRAGOS,269.44,22.18
2020,3,Aragon,VERDURAS DE HOJA,537.79,42.31
2020,3,Aragon,BERENJENAS,153.59,31.12
2020,3,Aragon,ZANAHORIAS,431.18,57.44
2020,3,Aragon,CALABACINES,544.33,63.58
2020,3,Aragon,OTR.HORTALIZAS/VERD.,2236.33,84.49
2020,3,Aragon,BROCOLI,315.9,27.98
2020,3,Aragon,ALCACHOFAS,371.08,39.21
2020,3,Aragon,APIO,187.47,12.57
2020,3,Aragon,COLIFLOR,69.24,10.07
2020,3,Aragon,VERD./HORT. IV GAMA,944.33,69.11
2020,3,Aragon,PUERRO,146.2,31.55
2020,3,Asturias,TOTAL PATATAS,3981.23,77.32
2020,3,Asturias,PATATAS FRESCAS,3308.71,69.02
2020,3,Asturias,PATATAS CONGELADAS,72.75,9.24
2020,3,Asturias,PATATAS PROCESADAS,119.95,36.34
2020,3,Asturias,PATATAS FRITAS,86.53,33.93
2020,3,Asturias,T.HORTALIZAS FRESCAS,4917.27,96.76
2020,3,Asturias,TOMATES,862.45,75.41
2020,3,Asturias,CEBOLLAS,888.0,79.66
2020,3,Asturias,AJOS,118.24,57.42
2020,3,Asturias,COLES,197.13,22.75
2020,3,Asturias,PEPINOS,46.99,18.65
2020,3,Asturias,JUDIAS VERDES,110.13,26.9
2020,3,Asturias,PIMIENTOS,470.26,72.6
2020,3,Asturias,CHAMPIÑONES+O.SETAS,106.89,34.37
2020,3,Asturias,LECHUGA/ESC./ENDIVIA,326.73,65.42
2020,3,Asturias,ESPARRAGOS,20.75,8.55
2020,3,Asturias,VERDURAS DE HOJA,195.43,18.28
2020,3,Asturias,BERENJENAS,99.31,21.15
2020,3,Asturias,ZANAHORIAS,381.11,62.28
2020,3,Asturias,CALABACINES,424.05,53.55
2020,3,Asturias,OTR.HORTALIZAS/VERD.,669.81,64.66
2020,3,Asturias,BROCOLI,110.99,29.24
2020,3,Asturias,ALCACHOFAS,57.97,13.67
2020,3,Asturias,APIO,24.97,4.63
2020,3,Asturias,COLIFLOR,39.12,6.54
2020,3,Asturias,VERD./HORT. IV GAMA,504.66,52.01
2020,3,Asturias,PUERRO,93.6,34.24
2020,3,Baleares,TOTAL PATATAS,3868.96,89.97
2020,3,Baleares,PATATAS FRESCAS,2786.14,80.55
2020,3,Baleares,PATATAS CONGELADAS,122.33,10.3
2020,3,Baleares,PATATAS PROCESADAS,192.1,57.75
2020,3,Baleares,PATATAS FRITAS,142.28,56.6
2020,3,Baleares,T.HORTALIZAS FRESCAS,7612.08,98.34
2020,3,Baleares,TOMATES,1366.68,91.08
2020,3,Baleares,CEBOLLAS,1012.82,82.38
2020,3,Baleares,AJOS,92.74,34.03
2020,3,Baleares,COLES,352.07,34.78
2020,3,Baleares,PEPINOS,115.77,29.38
2020,3,Baleares,JUDIAS VERDES,153.29,40.49
2020,3,Baleares,PIMIENTOS,646.21,69.4
2020,3,Baleares,CHAMPIÑONES+O.SETAS,280.7,56.71
2020,3,Baleares,LECHUGA/ESC./ENDIVIA,495.58,74.89
2020,3,Baleares,ESPARRAGOS,29.12,8.54
2020,3,Baleares,VERDURAS DE HOJA,285.61,40.99
2020,3,Baleares,BERENJENAS,275.77,42.84
2020,3,Baleares,ZANAHORIAS,406.59,62.39
2020,3,Baleares,CALABACINES,488.35,60.77
2020,3,Baleares,OTR.HORTALIZAS/VERD.,1610.77,80.98
2020,3,Baleares,BROCOLI,185.93,34.24
2020,3,Baleares,ALCACHOFAS,296.47,33.13
2020,3,Baleares,APIO,82.46,16.54
2020,3,Baleares,COLIFLOR,137.17,21.13
2020,3,Baleares,VERD./HORT. IV GAMA,847.28,66.83
2020,3,Baleares,PUERRO,128.46,40.73
2020,3,Canarias,TOTAL PATATAS,8483.08,87.1
2020,3,Canarias,PATATAS FRESCAS,6689.41,79.46
2020,3,Canarias,PATATAS CONGELADAS,383.6,12.15
2020,3,Canarias,PATATAS PROCESADAS,282.02,46.74
2020,3,Canarias,PATATAS FRITAS,215.39,46.45
2020,3,Canarias,T.HORTALIZAS FRESCAS,12563.35,98.96
2020,3,Canarias,TOMATES,2115.91,86.17
2020,3,Canarias,CEBOLLAS,2113.67,92.33
2020,3,Canarias,AJOS,167.26,49.22
2020,3,Canarias,COLES,348.95,25.73
2020,3,Canarias,PEPINOS,287.79,29.91
2020,3,Canarias,JUDIAS VERDES,243.26,25.81
2020,3,Canarias,PIMIENTOS,1084.59,77.48
2020,3,Canarias,CHAMPIÑONES+O.SETAS,225.27,36.4
2020,3,Canarias,LECHUGA/ESC./ENDIVIA,573.57,61.75
2020,3,Canarias,ESPARRAGOS,4.27,1.32
2020,3,Canarias,VERDURAS DE HOJA,115.88,27.69
2020,3,Canarias,BERENJENAS,151.6,21.45
2020,3,Canarias,ZANAHORIAS,1160.15,76.34
2020,3,Canarias,CALABACINES,1524.73,75.07
2020,3,Canarias,OTR.HORTALIZAS/VERD.,2446.46,86.82
2020,3,Canarias,BROCOLI,76.38,12.22
2020,3,Canarias,ALCACHOFAS,27.94,2.73
2020,3,Canarias,APIO,103.39,14.01
2020,3,Canarias,COLIFLOR,106.02,13.18
2020,3,Canarias,VERD./HORT. IV GAMA,1806.22,69.38
2020,3,Canarias,PUERRO,200.4,37.05
2020,3,Cantabria,TOTAL PATATAS,1746.55,88.51
2020,3,Cantabria,PATATAS FRESCAS,1290.88,80.5
2020,3,Cantabria,PATATAS CONGELADAS,98.45,17.0
2020,3,Cantabria,PATATAS PROCESADAS,71.44,42.56
2020,3,Cantabria,PATATAS FRITAS,53.59,40.58
2020,3,Cantabria,T.HORTALIZAS FRESCAS,2299.09,98.7
2020,3,Cantabria,TOMATES,361.21,89.36
2020,3,Cantabria,CEBOLLAS,403.48,86.28
2020,3,Cantabria,AJOS,41.7,57.53
2020,3,Cantabria,COLES,55.75,16.13
2020,3,Cantabria,PEPINOS,34.88,19.64
2020,3,Cantabria,JUDIAS VERDES,59.54,24.71
2020,3,Cantabria,PIMIENTOS,261.84,60.42
2020,3,Cantabria,CHAMPIÑONES+O.SETAS,34.7,29.46
2020,3,Cantabria,LECHUGA/ESC./ENDIVIA,165.99,73.97
2020,3,Cantabria,ESPARRAGOS,10.03,8.45
2020,3,Cantabria,VERDURAS DE HOJA,26.6,17.89
2020,3,Cantabria,BERENJENAS,68.96,28.02
2020,3,Cantabria,ZANAHORIAS,252.59,63.12
2020,3,Cantabria,CALABACINES,187.12,41.34
2020,3,Cantabria,OTR.HORTALIZAS/VERD.,334.7,67.04
2020,3,Cantabria,BROCOLI,27.61,16.73
2020,3,Cantabria,ALCACHOFAS,60.48,18.95
2020,3,Cantabria,APIO,8.39,3.12
2020,3,Cantabria,COLIFLOR,41.21,11.33
2020,3,Cantabria,VERD./HORT. IV GAMA,258.56,75.05
2020,3,Cantabria,PUERRO,52.99,32.44
2020,3,Castilla La Mancha,TOTAL PATATAS,6316.78,87.83
2020,3,Castilla La Mancha,PATATAS FRESCAS,4596.8,76.84
2020,3,Castilla La Mancha,PATATAS CONGELADAS,269.18,18.28
2020,3,Castilla La Mancha,PATATAS PROCESADAS,290.16,58.12
2020,3,Castilla La Mancha,PATATAS FRITAS,230.87,55.97
2020,3,Castilla La Mancha,T.HORTALIZAS FRESCAS,9099.42,96.33
2020,3,Castilla La Mancha,TOMATES,2154.64,81.78
2020,3,Castilla La Mancha,CEBOLLAS,1031.69,65.29
2020,3,Castilla La Mancha,AJOS,124.36,39.27
2020,3,Castilla La Mancha,COLES,205.14,17.95
2020,3,Castilla La Mancha,PEPINOS,328.14,29.97
2020,3,Castilla La Mancha,JUDIAS VERDES,271.63,38.91
2020,3,Castilla La Mancha,PIMIENTOS,871.8,65.79
2020,3,Castilla La Mancha,CHAMPIÑONES+O.SETAS,236.84,41.88
2020,3,Castilla La Mancha,LECHUGA/ESC./ENDIVIA,490.44,66.45
2020,3,Castilla La Mancha,ESPARRAGOS,214.98,19.55
2020,3,Castilla La Mancha,VERDURAS DE HOJA,268.4,24.78
2020,3,Castilla La Mancha,BERENJENAS,214.56,32.85
2020,3,Castilla La Mancha,ZANAHORIAS,540.42,56.39
2020,3,Castilla La Mancha,CALABACINES,661.08,59.85
2020,3,Castilla La Mancha,OTR.HORTALIZAS/VERD.,1485.28,76.3
2020,3,Castilla La Mancha,BROCOLI,173.49,20.42
2020,3,Castilla La Mancha,ALCACHOFAS,341.0,34.1
2020,3,Castilla La Mancha,APIO,22.86,6.86
2020,3,Castilla La Mancha,COLIFLOR,76.92,7.89
2020,3,Castilla La Mancha,VERD./HORT. IV GAMA,1037.6,60.37
2020,3,Castilla La Mancha,PUERRO,188.91,31.35
2020,3,Castilla Leon,TOTAL PATATAS,5371.01,73.93
2020,3,Castilla Leon,PATATAS FRESCAS,3962.98,64.04
2020,3,Castilla Leon,PATATAS CONGELADAS,89.25,3.67
2020,3,Castilla Leon,PATATAS PROCESADAS,263.76,41.76
2020,3,Castilla Leon,PATATAS FRITAS,221.56,40.47
2020,3,Castilla Leon,T.HORTALIZAS FRESCAS,10759.11,95.25
2020,3,Castilla Leon,TOMATES,1949.92,74.5
2020,3,Castilla Leon,CEBOLLAS,1425.7,66.63
2020,3,Castilla Leon,AJOS,166.86,39.53
2020,3,Castilla Leon,COLES,477.63,25.46
2020,3,Castilla Leon,PEPINOS,178.99,22.76
2020,3,Castilla Leon,JUDIAS VERDES,217.74,26.38
2020,3,Castilla Leon,PIMIENTOS,1053.04,73.2
2020,3,Castilla Leon,CHAMPIÑONES+O.SETAS,221.79,37.21
2020,3,Castilla Leon,LECHUGA/ESC./ENDIVIA,902.72,70.12
2020,3,Castilla Leon,ESPARRAGOS,109.94,9.82
2020,3,Castilla Leon,VERDURAS DE HOJA,216.88,26.01
2020,3,Castilla Leon,BERENJENAS,203.96,27.97
2020,3,Castilla Leon,ZANAHORIAS,828.22,66.36
2020,3,Castilla Leon,CALABACINES,963.39,62.51
2020,3,Castilla Leon,OTR.HORTALIZAS/VERD.,1842.34,69.96
2020,3,Castilla Leon,BROCOLI,227.8,21.14
2020,3,Castilla Leon,ALCACHOFAS,222.11,19.12
2020,3,Castilla Leon,APIO,45.44,5.99
2020,3,Castilla Leon,COLIFLOR,269.98,16.7
2020,3,Castilla Leon,VERD./HORT. IV GAMA,1147.54,65.04
2020,3,Castilla Leon,PUERRO,242.17,36.86
2020,3,Cataluña,TOTAL PATATAS,23385.18,87.75
2020,3,Cataluña,PATATAS FRESCAS,16492.1,80.15
2020,3,Cataluña,PATATAS CONGELADAS,757.55,11.3
2020,3,Cataluña,PATATAS PROCESADAS,1227.11,54.91
2020,3,Cataluña,PATATAS FRITAS,887.22,51.89
2020,3,Cataluña,T.HORTALIZAS FRESCAS,49548.59,98.12
2020,3,Cataluña,TOMATES,9122.1,89.65
2020,3,Cataluña,CEBOLLAS,6498.65,78.84
2020,3,Cataluña,AJOS,466.85,37.77
2020,3,Cataluña,COLES,1472.66,26.22
2020,3,Cataluña,PEPINOS,1002.15,31.16
2020,3,Cataluña,JUDIAS VERDES,1777.65,37.36
2020,3,Cataluña,PIMIENTOS,3476.12,67.53
2020,3,Cataluña,CHAMPIÑONES+O.SETAS,870.07,39.17
2020,3,Cataluña,LECHUGA/ESC./ENDIVIA,3338.91,72.94
2020,3,Cataluña,ESPARRAGOS,1229.92,18.85
2020,3,Cataluña,VERDURAS DE HOJA,1333.41,31.68
2020,3,Cataluña,BERENJENAS,1445.35,41.64
2020,3,Cataluña,ZANAHORIAS,2755.78,60.2
2020,3,Cataluña,CALABACINES,3066.68,57.74
2020,3,Cataluña,OTR.HORTALIZAS/VERD.,11692.3,86.16
2020,3,Cataluña,BROCOLI,1335.79,28.27
2020,3,Cataluña,ALCACHOFAS,3518.11,48.81
2020,3,Cataluña,APIO,504.45,17.13
2020,3,Cataluña,COLIFLOR,369.95,7.96
2020,3,Cataluña,VERD./HORT. IV GAMA,5326.13,71.91
2020,3,Cataluña,PUERRO,961.83,32.77
2020,3,Extremadura,TOTAL PATATAS,2686.11,83.57
2020,3,Extremadura,PATATAS FRESCAS,1843.49,75.04
2020,3,Extremadura,PATATAS CONGELADAS,129.6,14.05
2020,3,Extremadura,PATATAS PROCESADAS,142.6,58.28
2020,3,Extremadura,PATATAS FRITAS,126.82,58.56
2020,3,Extremadura,T.HORTALIZAS FRESCAS,5363.75,96.29
2020,3,Extremadura,TOMATES,1156.19,82.2
2020,3,Extremadura,CEBOLLAS,683.28,77.16
2020,3,Extremadura,AJOS,103.04,46.35
2020,3,Extremadura,COLES,95.87,19.68
2020,3,Extremadura,PEPINOS,175.21,31.64
2020,3,Extremadura,JUDIAS VERDES,95.18,28.62
2020,3,Extremadura,PIMIENTOS,474.06,76.18
2020,3,Extremadura,CHAMPIÑONES+O.SETAS,120.98,42.48
2020,3,Extremadura,LECHUGA/ESC./ENDIVIA,403.72,71.0
2020,3,Extremadura,ESPARRAGOS,114.22,15.17
2020,3,Extremadura,VERDURAS DE HOJA,115.37,27.19
2020,3,Extremadura,BERENJENAS,122.55,28.99
2020,3,Extremadura,ZANAHORIAS,363.2,58.83
2020,3,Extremadura,CALABACINES,488.53,64.4
2020,3,Extremadura,OTR.HORTALIZAS/VERD.,852.35,67.59
2020,3,Extremadura,BROCOLI,73.76,13.16
2020,3,Extremadura,ALCACHOFAS,173.04,24.37
2020,3,Extremadura,APIO,18.66,6.04
2020,3,Extremadura,COLIFLOR,72.04,14.56
2020,3,Extremadura,VERD./HORT. IV GAMA,664.73,66.22
2020,3,Extremadura,PUERRO,116.36,30.58
2020,3,Galicia,TOTAL PATATAS,9257.38,71.31
2020,3,Galicia,PATATAS FRESCAS,7560.91,55.85
2020,3,Galicia,PATATAS CONGELADAS,150.5,6.46
2020,3,Galicia,PATATAS PROCESADAS,309.19,40.55
2020,3,Galicia,PATATAS FRITAS,219.5,37.0
2020,3,Galicia,T.HORTALIZAS FRESCAS,12073.16,94.98
2020,3,Galicia,TOMATES,2099.3,76.74
2020,3,Galicia,CEBOLLAS,1811.48,59.34
2020,3,Galicia,AJOS,154.92,40.27
2020,3,Galicia,COLES,1133.05,34.59
2020,3,Galicia,PEPINOS,97.9,10.85
2020,3,Galicia,JUDIAS VERDES,312.38,26.31
2020,3,Galicia,PIMIENTOS,942.23,62.78
2020,3,Galicia,CHAMPIÑONES+O.SETAS,185.08,24.95
2020,3,Galicia,LECHUGA/ESC./ENDIVIA,1030.3,65.45
2020,3,Galicia,ESPARRAGOS,36.58,6.29
2020,3,Galicia,VERDURAS DE HOJA,244.36,18.82
2020,3,Galicia,BERENJENAS,178.29,20.32
2020,3,Galicia,ZANAHORIAS,951.97,63.36
2020,3,Galicia,CALABACINES,570.57,36.09
2020,3,Galicia,OTR.HORTALIZAS/VERD.,2324.74,68.53
2020,3,Galicia,BROCOLI,514.74,30.43
2020,3,Galicia,ALCACHOFAS,140.21,8.35
2020,3,Galicia,APIO,118.26,5.34
2020,3,Galicia,COLIFLOR,151.36,6.29
2020,3,Galicia,VERD./HORT. IV GAMA,863.58,50.55
2020,3,Galicia,PUERRO,308.46,33.1
2020,3,La Rioja,TOTAL PATATAS,517.62,67.64
2020,3,La Rioja,PATATAS FRESCAS,375.35,57.69
2020,3,La Rioja,PATATAS CONGELADAS,11.15,9.41
2020,3,La Rioja,PATATAS PROCESADAS,26.22,39.63
2020,3,La Rioja,PATATAS FRITAS,24.75,39.21
2020,3,La Rioja,T.HORTALIZAS FRESCAS,1500.91,93.65
2020,3,La Rioja,TOMATES,185.01,53.42
2020,3,La Rioja,CEBOLLAS,157.74,55.08
2020,3,La Rioja,AJOS,9.2,26.19
2020,3,La Rioja,COLES,28.88,20.58
2020,3,La Rioja,PEPINOS,30.53,20.55
2020,3,La Rioja,JUDIAS VERDES,23.0,27.24
2020,3,La Rioja,PIMIENTOS,92.07,55.8
2020,3,La Rioja,CHAMPIÑONES+O.SETAS,84.75,56.4
2020,3,La Rioja,LECHUGA/ESC./ENDIVIA,183.11,76.49
2020,3,La Rioja,ESPARRAGOS,42.56,11.49
2020,3,La Rioja,VERDURAS DE HOJA,74.01,19.09
2020,3,La Rioja,BERENJENAS,23.47,28.1
2020,3,La Rioja,ZANAHORIAS,93.07,56.81
2020,3,La Rioja,CALABACINES,92.52,61.79
2020,3,La Rioja,OTR.HORTALIZAS/VERD.,380.99,75.88
2020,3,La Rioja,BROCOLI,68.05,10.53
2020,3,La Rioja,ALCACHOFAS,70.97,22.27
2020,3,La Rioja,APIO,5.27,8.42
2020,3,La Rioja,COLIFLOR,36.36,20.22
2020,3,La Rioja,VERD./HORT. IV GAMA,111.07,60.5
2020,3,La Rioja,PUERRO,36.82,32.92
2020,3,Madrid,TOTAL PATATAS,18475.87,85.7
2020,3,Madrid,PATATAS FRESCAS,12823.77,76.92
2020,3,Madrid,PATATAS CONGELADAS,661.03,12.3
2020,3,Madrid,PATATAS PROCESADAS,998.21,51.86
2020,3,Madrid,PATATAS FRITAS,792.07,49.59
2020,3,Madrid,T.HORTALIZAS FRESCAS,34050.87,97.88
2020,3,Madrid,TOMATES,6995.0,84.86
2020,3,Madrid,CEBOLLAS,4031.27,76.39
2020,3,Madrid,AJOS,414.68,44.26
2020,3,Madrid,COLES,1126.98,25.36
2020,3,Madrid,PEPINOS,763.05,29.9
2020,3,Madrid,JUDIAS VERDES,1139.16,39.26
2020,3,Madrid,PIMIENTOS,2882.01,74.54
2020,3,Madrid,CHAMPIÑONES+O.SETAS,758.16,41.52
2020,3,Madrid,LECHUGA/ESC./ENDIVIA,2007.05,67.2
2020,3,Madrid,ESPARRAGOS,624.47,18.6
2020,3,Madrid,VERDURAS DE HOJA,799.17,31.35
2020,3,Madrid,BERENJENAS,797.98,30.52
2020,3,Madrid,ZANAHORIAS,2369.01,64.18
2020,3,Madrid,CALABACINES,3183.65,67.24
2020,3,Madrid,OTR.HORTALIZAS/VERD.,6159.23,80.35
2020,3,Madrid,BROCOLI,679.99,23.21
2020,3,Madrid,ALCACHOFAS,843.45,23.41
2020,3,Madrid,APIO,216.58,11.72
2020,3,Madrid,COLIFLOR,396.82,11.98
2020,3,Madrid,VERD./HORT. IV GAMA,3686.71,74.53
2020,3,Madrid,PUERRO,898.53,41.9
2020,3,Murcia,TOTAL PATATAS,4153.6,85.07
2020,3,Murcia,PATATAS FRESCAS,2805.69,74.16
2020,3,Murcia,PATATAS CONGELADAS,176.11,16.17
2020,3,Murcia,PATATAS PROCESADAS,234.36,56.5
2020,3,Murcia,PATATAS FRITAS,202.31,54.62
2020,3,Murcia,T.HORTALIZAS FRESCAS,8861.22,97.49
2020,3,Murcia,TOMATES,2031.89,85.84
2020,3,Murcia,CEBOLLAS,994.7,82.46
2020,3,Murcia,AJOS,126.98,38.35
2020,3,Murcia,COLES,165.85,15.08
2020,3,Murcia,PEPINOS,372.22,44.22
2020,3,Murcia,JUDIAS VERDES,239.9,37.77
2020,3,Murcia,PIMIENTOS,585.62,66.92
2020,3,Murcia,CHAMPIÑONES+O.SETAS,177.76,41.11
2020,3,Murcia,LECHUGA/ESC./ENDIVIA,691.47,72.09
2020,3,Murcia,ESPARRAGOS,95.63,19.9
2020,3,Murcia,VERDURAS DE HOJA,143.69,29.44
2020,3,Murcia,BERENJENAS,248.72,47.31
2020,3,Murcia,ZANAHORIAS,450.6,59.87
2020,3,Murcia,CALABACINES,654.39,63.11
2020,3,Murcia,OTR.HORTALIZAS/VERD.,1881.79,85.48
2020,3,Murcia,BROCOLI,171.29,28.17
2020,3,Murcia,ALCACHOFAS,437.06,48.14
2020,3,Murcia,APIO,87.62,23.03
2020,3,Murcia,COLIFLOR,170.18,22.44
2020,3,Murcia,VERD./HORT. IV GAMA,905.6,70.76
2020,3,Murcia,PUERRO,142.75,35.37
2020,3,Navarra,TOTAL PATATAS,1638.41,79.95
2020,3,Navarra,PATATAS FRESCAS,1212.56,74.18
2020,3,Navarra,PATATAS CONGELADAS,64.76,14.4
2020,3,Navarra,PATATAS PROCESADAS,72.22,45.93
2020,3,Navarra,PATATAS FRITAS,45.91,38.91
2020,3,Navarra,T.HORTALIZAS FRESCAS,3049.08,96.67
2020,3,Navarra,TOMATES,411.54,70.15
2020,3,Navarra,CEBOLLAS,299.59,63.57
2020,3,Navarra,AJOS,24.2,23.34
2020,3,Navarra,COLES,127.18,21.87
2020,3,Navarra,PEPINOS,34.92,15.82
2020,3,Navarra,JUDIAS VERDES,98.74,52.25
2020,3,Navarra,PIMIENTOS,170.77,55.46
2020,3,Navarra,CHAMPIÑONES+O.SETAS,66.29,46.36
2020,3,Navarra,LECHUGA/ESC./ENDIVIA,414.87,69.31
2020,3,Navarra,ESPARRAGOS,40.37,16.21
2020,3,Navarra,VERDURAS DE HOJA,90.54,22.45
2020,3,Navarra,BERENJENAS,55.71,23.85
2020,3,Navarra,ZANAHORIAS,251.99,68.78
2020,3,Navarra,CALABACINES,259.61,66.04
2020,3,Navarra,OTR.HORTALIZAS/VERD.,702.75,78.89
2020,3,Navarra,BROCOLI,179.97,29.16
2020,3,Navarra,ALCACHOFAS,80.7,18.74
2020,3,Navarra,APIO,21.02,5.76
2020,3,Navarra,COLIFLOR,26.78,2.42
2020,3,Navarra,VERD./HORT. IV GAMA,360.37,66.89
2020,3,Navarra,PUERRO,69.18,42.15
2020,3,Pais Vasco,TOTAL PATATAS,8234.23,89.09
2020,3,Pais Vasco,PATATAS FRESCAS,6504.54,85.02
2020,3,Pais Vasco,PATATAS CONGELADAS,128.04,9.04
2020,3,Pais Vasco,PATATAS PROCESADAS,320.33,45.81
2020,3,Pais Vasco,PATATAS FRITAS,233.44,42.36
2020,3,Pais Vasco,T.HORTALIZAS FRESCAS,13434.45,98.07
2020,3,Pais Vasco,TOMATES,2352.64,82.15
2020,3,Pais Vasco,CEBOLLAS,1776.43,86.15
2020,3,Pais Vasco,AJOS,163.72,50.1
2020,3,Pais Vasco,COLES,398.29,26.49
2020,3,Pais Vasco,PEPINOS,121.17,15.42
2020,3,Pais Vasco,JUDIAS VERDES,491.7,43.49
2020,3,Pais Vasco,PIMIENTOS,1195.2,74.87
2020,3,Pais Vasco,CHAMPIÑONES+O.SETAS,373.85,47.38
2020,3,Pais Vasco,LECHUGA/ESC./ENDIVIA,1024.78,71.88
2020,3,Pais Vasco,ESPARRAGOS,201.81,12.66
2020,3,Pais Vasco,VERDURAS DE HOJA,422.13,27.83
2020,3,Pais Vasco,BERENJENAS,179.14,23.36
2020,3,Pais Vasco,ZANAHORIAS,1031.4,72.33
2020,3,Pais Vasco,CALABACINES,1079.41,53.66
2020,3,Pais Vasco,OTR.HORTALIZAS/VERD.,2622.78,84.6
2020,3,Pais Vasco,BROCOLI,357.14,31.9
2020,3,Pais Vasco,ALCACHOFAS,397.42,21.86
2020,3,Pais Vasco,APIO,29.26,5.33
2020,3,Pais Vasco,COLIFLOR,149.61,9.72
2020,3,Pais Vasco,VERD./HORT. IV GAMA,1178.22,66.8
2020,3,Pais Vasco,PUERRO,396.15,49.62
2020,3,Valencia,TOTAL PATATAS,15915.95,86.85
2020,3,Valencia,PATATAS FRESCAS,11649.88,79.02
2020,3,Valencia,PATATAS CONGELADAS,512.46,16.05
2020,3,Valencia,PATATAS PROCESADAS,750.72,53.78
2020,3,Valencia,PATATAS FRITAS,644.12,52.31
2020,3,Valencia,T.HORTALIZAS FRESCAS,28788.83,98.25
2020,3,Valencia,TOMATES,5143.7,83.93
2020,3,Valencia,CEBOLLAS,3874.56,72.98
